name,sex_or_gender,date_of_birth,country_of_citizenship,place_of_birth
George Egerton,female,1859-12-14,"United Kingdom, Ireland, Australia",Australia
Clinton Rossiter,male,1917-09-18,United States of America,Philadelphia
Benedict Jacka,male,1980-09-25,United Kingdom,London
Christopher Bigsby,male,1941-06-27,United Kingdom,Dundee
Robert Hass,male,1941-03-01,United States of America,San Francisco
Jerry Spinelli,male,1941-02-01,United States of America,Norristown
Rachel Caine,female,1962-04-27,United States of America,United States of America
Mark T. Sullivan,male,1958-06-28,United States of America,Framingham
Julian Barnes,male,1946-01-19,United Kingdom,Leicester
Jack Canfield,male,1944-08-19,United States of America,Fort Worth
Eliza Wheeler,female,1839-00-00,"United States of America, United Kingdom",Duluth
Erma Bombeck,female,1927-02-21,United States of America,Bellbrook
Cynthia Lord,female,1950-01-01,United States of America,New Hampshire
Charles M. Schulz,male,1922-11-26,United States of America,Minneapolis
Timothy Egan,male,1954-11-08,United States of America,Seattle
Moira Young,female,1959-01-01,Canada,New Westminster
John Howard Griffin,male,1920-06-16,United States of America,Dallas
Mary Doria Russell,female,1950-08-19,United States of America,Chicago
Lauren Graham,female,1967-03-16,United States of America,Honolulu
Else Holmelund Minarik,female,1920-09-13,United States of America,Fredericia
Len Deighton,male,1929-02-18,United Kingdom,London
Edward P. Jones,male,1951-01-01,United States of America,
Luciano Bianciardi,male,1922-12-14,"Italy, Kingdom of Italy",Grosseto
Robert Graves,male,"1895-07-24, 1895-07-26",British Empire,Wimbledon
James Fenimore Cooper,male,1789-09-15,United States of America,Burlington
Lori Lansens,female,1962-07-00,Canada,Ontario
Radwa Ashour,female,1946-05-26,Egypt,Cairo
David Wilkerson,male,1931-05-19,United States of America,Hammond
Chelsea Cain,female,1972-02-05,United States of America,Iowa City
John Katzenbach,male,1950-06-23,United States of America,Princeton
Elie Wiesel,male,1928-09-30,"Israel, United States of America, Romania, Hungary, France, Romania",Sighetu Marmației
Sabaa Tahir,female,1983-11-07,United States of America,London
Thomas Mathiesen,male,1933-10-05,Norway,Oslo
Sabahattin Ali,male,"1907-02-25, 1906-02-12","Turkey, Ottoman Empire","Ardino, Sanjak of Gümülcine, Adrianople Vilayet, Ottoman Empire"
Michael Azerrad,male,1961-05-08,United States of America,New York City
Stephen Marlowe,male,1928-08-07,United States of America,Brooklyn
Jay Kristoff,male,1973-11-11,Australia,Perth
Aeschylus,male,-0525-00-00,Classical Athens,Eleusis
James W. Loewen,male,1942-02-06,United States of America,Decatur
Marcus Luttrell,male,1975-11-07,United States of America,Houston
Curtis Sittenfeld,female,1975-08-23,United States of America,Cincinnati
John Jay,male,1745-12-12,United States of America,New York City
Lionel Shriver,female,1957-05-18,United States of America,Gastonia
Jenny Nimmo,female,"1944-01-15, 1944-01-01",United Kingdom,Windsor
Azar Nafisi,female,1955-12-01,"Iran, United States of America",Tehran
Shannon Hale,female,1974-01-26,United States of America,Salt Lake City
Joseph Conrad,male,1857-12-03,"Russian Empire, United Kingdom of Great Britain and Ireland, United Kingdom",Berdychiv
Lynne Reid Banks,female,1929-07-31,United Kingdom,London
Marcel Proust,male,1871-07-10,France,Paris
Susan Vreeland,female,1946-01-20,United States of America,Racine
Liza Marklund,female,"1962-09-09, 1962-01-01",Sweden,Piteå
Nick Flynn,male,1960-01-26,United States of America,Scituate
Rolf Dobelli,male,1966-07-15,Switzerland,Lucerne
Shawn McManus,male,1958-06-30,United States of America,Brookline
Sonia Sotomayor,female,1954-06-25,United States of America,The Bronx
Gosho Aoyama,male,1963-06-21,Japan,"Japan, Tottori Prefecture, Hokuei"
Jerome Lawrence,male,1915-07-14,United States of America,Cleveland
Nicola Kraus,female,1974-08-17,United States of America,New York City
Zora Neale Hurston,female,1891-01-07,United States of America,Notasulga
Wallace Tripp,male,1940-06-26,United States of America,Boston
Sara Zarr,female,1970-10-03,United States of America,Cleveland
Jared Diamond,male,1937-09-10,United States of America,Boston
Steven Saylor,male,1956-03-23,United States of America,Port Lavaca
Peter Telep,male,1965-04-08,United States of America,Yonkers
Caitlin Doughty,female,1984-08-19,United States of America,Oahu
Gregory White Smith,male,1951-10-04,United States of America,Ithaca
Sheryl Sandberg,female,1969-08-28,United States of America,
Peter Straub,male,1943-03-02,United States of America,Milwaukee
William Bedell Stanford,male,1910-01-16,"United Kingdom, Ireland, United Kingdom of Great Britain and Ireland",Belfast
Judi Barrett,female,1941-01-01,United States of America,Brooklyn
Saroo Brierley,male,1981-00-00,"India, Australia",Khandwa
Stephen Coonts,male,1946-07-19,United States of America,Morgantown
Ted Nasmith,male,1956-01-01,Canada,Goderich
Jean Webster,female,1876-07-24,United States of America,Fredonia
William Greider,male,1936-08-06,United States of America,Cincinnati
Michael Martchenko,male,1942-08-01,France,Carcassonne
John Buchan,male,1875-08-26,United Kingdom,Perth
Stephenie Meyer,female,1973-12-24,United States of America,Hartford
Lorelei King,female,1953-10-29,United States of America,Pittsburgh
Sun Tzu,male,-0544-00-00,"Qi, Wu","Qi, Wu"
Keith Ferrazzi,male,1966-01-01,United States of America,Pennsylvania
Roberto Aguirre-Sacasa,male,1976-00-00,United States of America,
Karen Hesse,female,1952-08-29,United States of America,Baltimore
Nickolas Butler,male,1979-10-02,United States of America,Allentown
Anna Banks,female,2000-01-01,United States of America,Niceville
John le Carré,male,1931-10-19,United Kingdom,Poole
Christiane F.,female,1962-05-20,Germany,Hamburg
Simon Winchester,male,1944-09-28,United Kingdom,London
Jonathan Kozol,male,1936-09-05,United States of America,Boston
Eric Gurney,male,1910-03-16,Canada,Winnipeg
Marina Keegan,female,1989-10-25,United States of America,Boston
Dr. Seuss,male,1904-03-02,United States of America,Springfield
Alex Garland,male,1970-05-26,United Kingdom,London
Aravind Adiga,male,1974-10-23,India,Chennai
Machado de Assis,male,1839-06-21,Brazil,Rio de Janeiro
Justin O'Brien,male,1917-08-02,Australia,Hurstville
Kurt Wiese,male,1887-04-22,"German Reich, United States of America",Minden
Adam Gopnik,male,1956-08-24,United States of America,Philadelphia
Waris Dirie,female,1965-01-01,"Somalia, Austria",Galkayo
James Cameron,male,"1954-08-16, 1954-08-14",Canada,"Kapuskasing, Ontario"
Johanna Lindsey,female,1952-03-10,United States of America,Frankfurt am Main
Eldridge Cleaver,male,1935-08-31,United States of America,Wabbaseka
Bill Sienkiewicz,male,1958-05-03,United States of America,Blakely
Raymond Khoury,male,1960-01-01,Lebanon,"Beirut, Lebanon"
Roland Merullo,male,1953-09-19,United States of America,Boston
Geoff Johns,male,1973-01-25,United States of America,Detroit
Kate Grenville,female,1950-10-14,Australia,Sydney
Joy Adamson,female,1910-01-20,"United Kingdom, Austria",Opava
Goran Sudžuka,male,1969-12-23,Croatia,Zagreb
Elisabeth Kübler-Ross,female,1926-07-08,"United States of America, Switzerland",Zürich
Stephen R. Bissette,male,1955-03-14,United States of America,Vermont
Laura Esquivel,female,1950-09-30,Mexico,Mexico City
Maureen Freely,female,1952-01-01,United States of America,New Jersey
Elijah Wood,male,1981-01-28,United States of America,Cedar Rapids
Karin Slaughter,female,1971-01-06,United States of America,Covington
Iain Banks,male,1954-02-16,United Kingdom,Dunfermline
Gloria Vanderbilt,female,1924-02-20,United States of America,Manhattan
Patricia Cornwell,female,1956-06-09,United States of America,Miami
Joshua Middleton,male,1950-01-01,,Harrisburg
Ann Rule,female,1931-10-22,United States of America,Kent County
Stanisław Lem,male,1921-09-12,Poland,Lviv
Tony Tanner,male,1932-07-27,United Kingdom,Hillingdon
Michael Ende,male,1929-11-12,Germany,Munich
Sherwood Smith,female,1951-01-01,United States of America,United States of America
Amy Tan,female,1952-02-19,United States of America,Oakland
Richard Bach,male,1936-06-23,United States of America,Oak Park
Kim Gordon,female,1953-04-28,United States of America,Rochester
Phil Klay,male,1983-01-01,United States of America,White Plains
F. Scott Fitzgerald,male,1896-09-24,United States of America,Saint Paul
Malcolm Heath,male,1934-03-09,United Kingdom,Ferndown
Stacy Schiff,female,1961-10-26,United States of America,Adams
Jonathan Stroud,male,1970-10-27,United Kingdom,Bedford
Rudyard Kipling,male,1865-12-30,"United Kingdom, United Kingdom of Great Britain and Ireland",Mumbai
Angie Thomas,female,1988-00-00,United States of America,Jackson
Austin Grossman,male,1969-06-26,United States of America,Concord
Tobias Wolff,male,1945-06-19,United States of America,Birmingham
Graham Swift,male,1949-05-04,United Kingdom,London
Anne Enright,female,1962-10-11,Ireland,Dublin
Penn Jillette,male,1955-03-05,United States of America,Greenfield
Emma Cline,female,1989-00-00,United States of America,Sonoma County
Nick Cave,male,1957-09-22,Australia,Warracknabeal
Eric Schmidt,male,1955-04-27,United States of America,
Niccolò Machiavelli,male,1469-05-03,Republic of Florence,Florence
Khaled Hosseini,male,1965-03-04,United States of America,Kabul
Caitlin Moran,female,1975-04-05,United Kingdom,Brighton
Gabrielle Zevin,female,1977-10-24,United States of America,New York City
William R. Forstchen,male,1950-10-11,United States of America,Newark
Laura Palmer,female,1972-07-22,United States of America,Twin Peaks
Robert Crais,male,1953-06-20,United States of America,Baton Rouge
Truman Capote,male,1924-09-30,United States of America,New Orleans
Karen Miller,female,1961-00-00,Canada,Vancouver
Mark Millar,male,1969-12-24,United Kingdom,Coatbridge
Mark Bagley,male,1957-08-07,United States of America,Frankfurt am Main
Hisaya Nakajo,female,1973-09-12,Japan,Ōsaka
David Lagercrantz,male,1962-09-04,Sweden,Solna Municipality
Bruce Campbell,male,1958-06-22,United States of America,Royal Oak
Dean Karnazes,male,1962-08-23,United States of America,Inglewood
Ramit Sethi,male,1983-01-01,United States of America,California
Tyler Hamilton,male,1971-03-01,United States of America,Marblehead
John Keegan,male,1934-05-15,United Kingdom,Clapham
Ernest Cline,male,1972-03-29,United States of America,Ashland
Laurie Faria Stolarz,female,1972-05-05,United States of America,Salem
Timothy Zahn,male,1951-09-01,United States of America,Chicago
Yukiru Sugisaki,female,1974-12-26,Japan,Japan
Ta-Nehisi Coates,male,1975-09-30,United States of America,Baltimore
Fareed Zakaria,male,1964-01-20,United States of America,Mumbai
Natsuki Takaya,female,1973-07-07,Japan,Tokyo
Lisa Lutz,female,1970-03-13,United States of America,Southern California
John Scalzi,male,1969-05-10,United States of America,Fairfield
Carol Ryrie Brink,female,1895-12-28,United States of America,Moscow
Erin E. Stead,female,1982-12-27,United States of America,Farmington Hills
Tamora Pierce,female,1954-12-13,United States of America,South Connellsville
Tyler Oakley,cisgender male,1989-03-22,United States of America,Jackson
Karen Marie Moning,female,1964-11-01,United States of America,Cincinnati
Leo Tolstoy,male,"1828-09-09, 1828-08-28",Russian Empire,Yasnaya Polyana
Jay Bonansinga,male,1959-00-00,United States of America,Champaign
Charles Belfoure,male,1954-02-19,United States of America,Baltimore
Glen Duncan,male,1965-10-17,United Kingdom,Bolton
Cynthia Bond,female,1961-04-24,United States of America,Hempstead
Irvin D. Yalom,male,1931-06-13,United States of America,
Katherine Hannigan,female,1962-01-01,United States of America,Lockport
Robin Bailey,male,1919-10-05,"United Kingdom, United Kingdom of Great Britain and Ireland",Hucknall
Henry James,male,"1843-04-15, 1843-01-01","United States of America, United Kingdom, France, Kingdom of Italy",New York City
Nicola Yoon,female,"1973-10-01, 1972-00-00",United States of America,Rio de Janeiro
Max Barry,male,"1973-03-18, 1973-05-18",Australia,Australia
Eleanor Coerr,female,1922-05-29,Canada,Kamsack
Lisa Tuttle,female,1952-09-16,United States of America,Houston
Sarah Dessen,female,1970-06-06,United States of America,Evanston
Susanna Kaysen,female,1948-11-11,United States of America,Cambridge
Laura Whitcomb,female,1958-12-19,United States of America,Pasadena
Meg Wolitzer,female,1959-05-28,United States of America,Brooklyn
Danny Sugerman,male,1954-10-11,United States of America,Los Angeles
James Jean,male,1979-01-01,United States of America,Los Angeles
Billy Collins,male,1941-03-22,United States of America,Manhattan
Stephen King,male,1947-09-21,United States of America,Portland
Marjorie Kinnan Rawlings,female,1896-08-08,United States of America,
Julie Anne Peters,female,1952-01-16,United States of America,Jamestown
August Wilson,male,1945-04-27,United States of America,Pittsburgh
Joe Navarro,male,"1953-01-01, 1953-05-26",United States of America,Cienfuegos
Chris Ryall,male,1969-04-02,United States of America,Long Beach
Brian Greene,male,1963-02-09,United States of America,New York City
Alexander Theroux,male,1939-08-17,United States of America,Medford
Irène Némirovsky,female,"1903-02-24, 1903-02-11",,Kyiv
Alexandre Dumas fils,male,"1824-07-27, 1824-07-28",France,Paris
Blake Crouch,male,1978-00-00,United States of America,Statesville
Anthony Marra,male,1984-01-01,United States of America,
Marilynne Robinson,female,1943-11-26,United States of America,Sandpoint
James Rollins,male,1961-08-20,United States of America,Chicago
Robert C. O'Brien,male,1966-06-18,United States of America,Los Angeles
Malala Yousafzai,female,1997-07-12,Pakistan,Mingora
Tracy Brogan,female,1950-01-01,United States of America,Michigan
Howard Zinn,male,1922-08-24,United States of America,Brooklyn
Elizabeth Kolbert,female,1961-01-01,United States of America,The Bronx
Max Brooks,male,1972-05-22,United States of America,Manhattan
Craig Thompson,male,1975-09-21,United States of America,Traverse City
George R. Stewart,male,1895-05-31,United States of America,Allegheny County
Kate DiCamillo,female,1964-03-25,United States of America,Philadelphia
Ruth Ware,female,"1977-00-00, 1977-09-26",United Kingdom,Lewes
George Pérez,male,1954-06-09,United States of America,The Bronx
Frank McCourt,male,1930-08-19,United States of America,New York City
Chuck Palahniuk,male,1962-02-21,United States of America,Pasco
Vanessa Diffenbaugh,female,1978-01-20,United States of America,San Francisco
Lynne Truss,female,1955-05-31,United Kingdom,Kingston upon Thames
Kerstin Gier,female,1966-10-08,Germany,Bergisch Gladbach
Carlos Ezquerra,male,1947-11-12,Spain,Ibdes
Jeffery Deaver,male,"1950-05-06, 1950-01-01",United States of America,Glen Ellyn
J.A. Redmerski,female,1975-11-25,United States of America,Little Rock
Ted Andrews,male,1952-07-15,United States of America,Dayton
Joe Hill,male,1879-10-07,"United States of America, Sweden",Gävle Heliga Trefaldighets
Peter Lerangis,male,1955-08-19,United States of America,Brooklyn
Rudolfo Anaya,male,1937-10-30,United States of America,Pastura
Karen Armstrong,female,1944-11-14,United Kingdom,Worcestershire
Herodotus,male,-0484-01-01,Halicarnassus,Halicarnassus
Mark Dunn,male,1956-10-22,United States of America,Memphis
Steven Erikson,male,1959-10-07,Canada,Toronto
Michael Whelan,male,1950-06-29,United States of America,Culver City
